nutmeg-clove	1	571	2	top10	0
mizunara-the-library	0	403	0	free	0
bar-deco	1	476	1	free	0
hop-sing-laundromat-philadelphia	0	854	0	top10	0
citrus-cane	0	274	1	free	0
dark-room	0	164	0	free	0
melange-by-cali-sober	0	0	0	free	0
line	1	504	3	free	0
cause-effect-cocktail-kitchen	0	343	0	free	0
talking-to-strangers	0	285	0	free	0
apotheke-nyc	0	510	0	free	0
bar-mauro	1	678	4	top10	0
bar-nouveau	1	760	3	top10	0
svanen	1	538	3	free	0
tell-camellia	0	425	1	free	0
l-oursin	0	383	0	free	0
wildhawk	0	312	0	free	0
bisou-canal	0	894	0	top10	0
argo	3	602	4	top10	0
especiarium-bar-barcelona	0	490	0	free	0
bar-us	1	622	3	free	0
the-lucky-liquor-co	0	274	0	free	0
georges-at-the-cove-level2	1	287	0	free	0
furtivo-speakeasy	1	677	1	free	0
father-forgive-me	0	293	1	free	0
bees-bar-by-narisawa	1	499	0	free	0
asia-today	0	63	0	free	0
virtu	0	658	3	top10	0
charles-h	0	508	2	free	0
the-american-bar	0	540	1	free	0
spy-bar	0	400	1	free	0
truth-dare	0	315	0	free	0
wild-child-wines	0	320	1	free	0
danico	1	723	4	top10	0
schmuck	1	641	3	top10	0
mala-audio-bar	0	912	0	free	0
junebug	0	423	2	free	0
roots-zagreb	0	265	0	free	0
landsky	0	287	0	free	0
barro-negro	0	395	3	free	0
flying-dutchmen-cocktails	0	327	0	free	0
dragoljub	0	460	1	free	0
swizzle-rum-bar-drinkery	0	524	0	free	0
edge-rooftop-cocktail-lounge	0	614	0	free	0
somma	0	703	0	free	0
trillby-chadwick	0	503	1	free	0
1930	1	520	3	free	0
holiday	1	290	1	free	0
the-gin-bar	0	238	0	free	0
hey-palu	0	295	1	free	0
floreria-atlantico-dc	0	935	0	free	0
dean-nancy-on-22	0	396	1	free	0
baba-au-rum	1	437	4	free	0
la-calor	0	605	0	free	0
miss-t	0	69	0	free	0
el-infusionista	0	636	0	free	0
la-cachina-bar	0	554	0	free	0
the-peach-crease-club	0	399	2	free	0
008-bar	1	298	0	free	0
the-house-of-machines	0	281	0	free	0
atlas-bar	0	0	0	free	0
dry-wave-cocktail-studio	1	531	3	free	0
majnoon-seattle	1	716	0	free	0
codigo-86	0	584	0	free	0
gage-tollner	0	473	1	free	0
el-copitas	0	0	0	free	0
florattica-rooftop-london	0	400	1	free	0
subastor	0	0	0	free	0
backdoor-43	1	353	0	free	0
la-factora	0	368	1	free	0
apotheke-los-angeles	1	255	0	top10	0
bar-flores	0	294	0	free	0
cleaver	0	586	1	top10	0
the-roosevelt-room	1	588	1	top10	0
lost-boy-dry-goods	0	299	0	top10	0
head-tales	0	0	0	free	0
dead-poets	0	348	0	free	0
the-loft	11	983	0	featured	1
saeseoul	0	0	0	free	0
dragonfly	0	318	0	free	0
peruke-periwig	0	255	0	free	0
raines-law-room-william	0	398	2	free	0
posino-taipei	0	0	0	free	0
shelter	0	355	2	free	0
the-haflington	0	0	0	free	0
nightmoves	0	293	0	free	0
cravan	0	398	0	free	0
the-long-island-bar	0	226	0	free	0
the-portrait-bar	0	319	1	free	0
a-bar-with-shapes-for-a-name	1	697	2	top10	0
teeling-whiskey-bar	0	387	0	free	0
aman-bar	0	0	0	free	0
kaito-del-valle	0	385	5	free	0
meo	0	417	1	free	0
bar-carioca-da-gema	0	309	0	free	0
